Model,JointAcc,Error_Prec1,Error_Rec1,Error_F1_1,Violation_Prec1,Violation_Rec1,Violation_F1_1
Fold 1,0.49353448275862066,0.6403940886699507,0.6074766355140186,0.6235011990407673,0.8113207547169812,0.6745098039215687,0.7366167023554605
Fold 2,0.4557235421166307,0.5961538461538461,0.5767441860465117,0.5862884160756501,0.7877358490566038,0.65748031496063,0.7167381974248926
Fold 3,0.4924406047516199,0.6532663316582915,0.6046511627906976,0.6280193236714976,0.7819905213270142,0.6496062992125984,0.7096774193548386
Fold 4,0.4406047516198704,0.632,0.7348837209302326,0.6795698924731184,0.7185929648241206,0.562992125984252,0.6313465783664459
Fold 5,0.4535637149028078,0.6123348017621145,0.6495327102803738,0.6303854875283446,0.7560975609756098,0.6078431372549019,0.6739130434782609
Mean,0.4672,0.6268,0.6347,0.6296,0.7711,0.6305,0.6937
