index,Error_flag,Violation_flag,Err_anom_count,Viol_anom_count,Err_weight_sum,Viol_weight_sum,y3
2140,1,1,2,1,0.13793103448275862,0.05,1
2141,1,0,1,0,0.06896551724137931,0.0,1
2142,1,1,1,1,0.06896551724137931,0.05,1
2143,0,0,0,0,0.0,0.0,0
2144,0,0,0,0,0.0,0.0,0
2145,0,0,0,0,0.0,0.0,0
2146,0,0,0,0,0.0,0.0,0
2147,0,0,0,0,0.0,0.0,0
2148,0,0,0,0,0.0,0.0,0
2149,1,0,2,0,0.13793103448275862,0.0,1
2150,1,1,1,1,0.06896551724137931,0.05,1
2151,1,1,2,1,0.13793103448275862,0.05,1
2152,1,0,1,0,0.06896551724137931,0.0,1
2153,1,1,1,1,0.06896551724137931,0.05,1
2154,1,0,1,0,0.06896551724137931,0.0,1
2155,0,0,0,0,0.0,0.0,0
2156,1,1,1,1,0.06896551724137931,0.05,1
2157,0,0,0,0,0.0,0.0,0
2158,1,0,1,0,0.06896551724137931,0.0,1
2159,1,1,1,1,0.06896551724137931,0.05,1
2160,1,1,1,1,0.06896551724137931,0.05,1
2161,1,1,2,2,0.13793103448275862,0.15000000000000002,2
2162,1,1,2,1,0.10344827586206896,0.05,1
2163,1,1,1,1,0.06896551724137931,0.1,2
2164,1,0,1,0,0.06896551724137931,0.0,1
2165,1,1,2,1,0.13793103448275862,0.05,1
2166,0,0,0,0,0.0,0.0,0
2167,1,0,1,0,0.06896551724137931,0.0,1
2168,0,0,0,0,0.0,0.0,0
2169,1,1,1,1,0.06896551724137931,0.05,1
2170,1,0,2,0,0.13793103448275862,0.0,1
2171,1,0,2,0,0.13793103448275862,0.0,1
2172,1,1,1,1,0.034482758620689655,0.1,2
2173,0,1,0,1,0.0,0.1,2
2174,1,0,1,0,0.06896551724137931,0.0,1
2175,0,0,0,0,0.0,0.0,0
2176,1,0,1,0,0.06896551724137931,0.0,1
2177,1,0,1,0,0.06896551724137931,0.0,1
2178,0,0,0,0,0.0,0.0,0
2179,1,1,1,1,0.06896551724137931,0.05,1
2180,1,0,1,0,0.06896551724137931,0.0,1
2181,1,0,1,0,0.06896551724137931,0.0,1
2182,1,0,1,0,0.06896551724137931,0.0,1
2183,1,1,1,1,0.06896551724137931,0.05,1
2184,1,0,1,0,0.06896551724137931,0.0,1
2185,1,1,1,1,0.06896551724137931,0.05,1
2186,1,1,1,2,0.034482758620689655,0.2,2
2187,1,0,2,0,0.13793103448275862,0.0,1
2188,1,1,1,2,0.06896551724137931,0.15000000000000002,2
2189,0,0,0,0,0.0,0.0,0
2190,1,0,1,0,0.06896551724137931,0.0,1
2191,1,1,1,1,0.06896551724137931,0.05,1
2192,1,0,1,0,0.06896551724137931,0.0,1
2193,1,1,1,1,0.06896551724137931,0.05,1
2194,0,1,0,1,0.0,0.05,2
2195,1,0,1,0,0.06896551724137931,0.0,1
2196,0,1,0,1,0.0,0.1,2
2197,1,0,1,0,0.06896551724137931,0.0,1
2198,0,1,0,2,0.0,0.15000000000000002,2
2199,1,1,1,1,0.06896551724137931,0.05,1
2200,0,0,0,0,0.0,0.0,0
2201,0,0,0,0,0.0,0.0,0
2202,0,0,0,0,0.0,0.0,0
2203,1,1,2,1,0.13793103448275862,0.05,1
2204,1,1,2,1,0.13793103448275862,0.05,1
2205,1,1,2,1,0.13793103448275862,0.05,1
2206,1,0,1,0,0.06896551724137931,0.0,1
2207,0,0,0,0,0.0,0.0,0
2208,0,0,0,0,0.0,0.0,0
2209,1,1,2,1,0.13793103448275862,0.05,1
2210,1,0,2,0,0.13793103448275862,0.0,1
2211,1,0,1,0,0.06896551724137931,0.0,1
2212,1,0,1,0,0.06896551724137931,0.0,1
2213,0,1,0,1,0.0,0.05,2
2214,1,1,2,1,0.10344827586206896,0.1,1
2215,1,0,1,0,0.06896551724137931,0.0,1
2216,1,0,1,0,0.06896551724137931,0.0,1
2217,1,0,1,0,0.06896551724137931,0.0,1
2218,0,1,0,1,0.0,0.05,2
2219,1,1,1,1,0.06896551724137931,0.05,1
2220,1,0,1,0,0.06896551724137931,0.0,1
2221,1,0,1,0,0.06896551724137931,0.0,1
2222,0,0,0,0,0.0,0.0,0
2223,1,0,1,0,0.06896551724137931,0.0,1
2224,0,0,0,0,0.0,0.0,0
2225,1,1,1,1,0.06896551724137931,0.05,1
2226,0,1,0,1,0.0,0.05,2
2227,1,1,1,1,0.06896551724137931,0.05,1
2228,1,0,1,0,0.06896551724137931,0.0,1
2229,1,0,1,0,0.06896551724137931,0.0,1
2230,1,0,1,0,0.06896551724137931,0.0,1
2231,1,1,1,1,0.06896551724137931,0.05,1
2232,0,1,0,1,0.0,0.05,2
2233,1,1,1,1,0.06896551724137931,0.05,1
2234,0,1,0,1,0.0,0.05,2
2235,0,1,0,1,0.0,0.05,2
2236,1,0,1,0,0.06896551724137931,0.0,1
2237,0,0,0,0,0.0,0.0,0
2238,0,1,0,1,0.0,0.05,2
2239,1,1,1,1,0.06896551724137931,0.05,1
2240,1,1,3,1,0.1724137931034483,0.05,1
2241,1,0,1,0,0.06896551724137931,0.0,1
2242,1,0,1,0,0.06896551724137931,0.0,1
2243,0,0,0,0,0.0,0.0,0
2244,1,1,3,1,0.1724137931034483,0.05,1
2245,1,0,2,0,0.13793103448275862,0.0,1
2246,0,1,0,2,0.0,0.15000000000000002,2
2247,0,1,0,1,0.0,0.05,2
2248,0,0,0,0,0.0,0.0,0
2249,1,1,1,1,0.06896551724137931,0.05,1
2250,0,0,0,0,0.0,0.0,0
2251,1,1,1,1,0.06896551724137931,0.05,1
2252,1,0,1,0,0.06896551724137931,0.0,1
2253,1,0,2,0,0.13793103448275862,0.0,1
2254,1,1,1,1,0.06896551724137931,0.05,1
2255,1,1,1,1,0.06896551724137931,0.05,1
2256,0,0,0,0,0.0,0.0,0
2257,1,0,1,0,0.06896551724137931,0.0,1
2258,1,0,2,0,0.13793103448275862,0.0,1
2259,1,0,1,0,0.06896551724137931,0.0,1
2260,1,0,1,0,0.06896551724137931,0.0,1
2261,1,0,1,0,0.06896551724137931,0.0,1
2262,0,1,0,1,0.0,0.05,2
2263,1,0,1,0,0.06896551724137931,0.0,1
2264,1,0,1,0,0.06896551724137931,0.0,1
2265,0,0,0,0,0.0,0.0,0
2266,1,0,1,0,0.06896551724137931,0.0,1
2267,1,0,1,0,0.06896551724137931,0.0,1
2268,0,0,0,0,0.0,0.0,0
2269,1,1,2,2,0.13793103448275862,0.15000000000000002,2
2270,0,0,0,0,0.0,0.0,0
2271,0,1,0,2,0.0,0.15000000000000002,2
2272,1,1,1,1,0.06896551724137931,0.05,1
2273,0,1,0,1,0.0,0.05,2
2274,1,1,1,1,0.06896551724137931,0.05,1
2275,0,1,0,1,0.0,0.05,2
2276,1,1,1,1,0.06896551724137931,0.05,1
2277,1,0,2,0,0.13793103448275862,0.0,1
2278,1,0,1,0,0.06896551724137931,0.0,1
2279,1,1,1,1,0.06896551724137931,0.05,1
2280,0,0,0,0,0.0,0.0,0
2281,1,0,1,0,0.06896551724137931,0.0,1
2282,1,0,2,0,0.13793103448275862,0.0,1
2283,1,1,1,1,0.06896551724137931,0.05,1
2284,0,1,0,3,0.0,0.25,2
2285,1,1,2,1,0.13793103448275862,0.05,1
2286,0,1,0,1,0.0,0.05,2
2287,0,1,0,2,0.0,0.15000000000000002,2
2288,1,1,1,1,0.06896551724137931,0.05,1
2289,1,1,1,1,0.06896551724137931,0.05,1
2290,0,0,0,0,0.0,0.0,0
2291,1,0,1,0,0.06896551724137931,0.0,1
2292,0,0,0,0,0.0,0.0,0
2293,0,0,0,0,0.0,0.0,0
2294,0,0,0,0,0.0,0.0,0
2295,1,1,2,1,0.13793103448275862,0.05,1
2296,1,0,1,0,0.06896551724137931,0.0,1
2297,1,1,1,1,0.06896551724137931,0.05,1
2298,1,0,1,0,0.06896551724137931,0.0,1
2299,1,0,1,0,0.06896551724137931,0.0,1
2300,1,0,2,0,0.13793103448275862,0.0,1
2301,1,0,1,0,0.06896551724137931,0.0,1
2302,1,0,1,0,0.06896551724137931,0.0,1
2303,0,1,0,1,0.0,0.05,2
2304,1,1,1,1,0.06896551724137931,0.05,1
2305,0,0,0,0,0.0,0.0,0
2306,1,0,1,0,0.06896551724137931,0.0,1
2307,1,1,1,2,0.06896551724137931,0.15000000000000002,2
2308,1,1,4,1,0.27586206896551724,0.05,1
2309,1,0,1,0,0.06896551724137931,0.0,1
2310,1,0,1,0,0.06896551724137931,0.0,1
2311,1,1,1,1,0.06896551724137931,0.05,1
2312,0,0,0,0,0.0,0.0,0
2313,1,1,1,1,0.06896551724137931,0.05,1
2314,0,0,0,0,0.0,0.0,0
2315,0,0,0,0,0.0,0.0,0
